Txn Date,Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance,payment_type,category
03/01/2022,03/01/2022,POS/DR/417294665933/STARBUCKS,TRANSFER TO 417294665933,4325.5,,668378.29,pos,others
03/01/2022,03/01/2022,IMPS/DR/528026083792/DMART,TRANSFER TO 528026083792,5221.69,,663156.6,imps,others
03/01/2022,03/01/2022,UPI/DR/387365027051/UBER,TRANSFER TO 387365027051,4409.23,,658747.37,upi,transport
03/01/2022,03/01/2022,IMPS/DR/460934839143/FLIPKART,TRANSFER TO 460934839143,4528.46,,654218.91,imps,shopping
03/01/2022,03/01/2022,NEFT/DR/750444346180/AMAZON,TRANSFER TO 750444346180,3784.03,,650434.88,neft,shopping
03/01/2022,03/01/2022,IMPS/DR/348164319816/UBER,TRANSFER TO 348164319816,771.67,,649663.21,imps,transport
03/01/2022,03/01/2022,NEFT/DR/981095869368/STARBUCKS,TRANSFER TO 981095869368,7703.21,,641960.0,neft,others
03/01/2022,03/01/2022,POS/DR/652586217769/ZOMATO,TRANSFER TO 652586217769,1321.26,,640638.74,pos,food
03/01/2022,03/01/2022,NEFT/CR/353108939297/SALARY,TRANSFER FROM 353108939297,,49304.0,689942.74,neft,salary
03/01/2022,03/01/2022,IMPS/DR/564687684026/ZOMATO,TRANSFER TO 564687684026,4990.86,,684951.88,imps,food
03/01/2022,03/01/2022,UPI/DR/921982235066/MYNTRA,TRANSFER TO 921982235066,3980.21,,680971.67,upi,shopping
03/01/2022,03/01/2022,NEFT/DR/395552132844/SWIGGY,TRANSFER TO 395552132844,5497.64,,675474.03,neft,food
03/01/2022,03/01/2022,NEFT/DR/421190760712/SWIGGY,TRANSFER TO 421190760712,9181.42,,666292.61,neft,food
03/01/2022,03/01/2022,IMPS/DR/243898244913/DMART,TRANSFER TO 243898244913,62.45,,666230.16,imps,others
03/01/2022,03/01/2022,IMPS/DR/580510952736/UBER,TRANSFER TO 580510952736,9435.78,,656794.38,imps,transport
03/01/2022,03/01/2022,NEFT/CR/870651268666/SALARY,TRANSFER FROM 870651268666,,80019.0,736813.38,neft,salary
03/01/2022,03/01/2022,IMPS/DR/543419816295/APOLLO,TRANSFER TO 543419816295,13309.28,,723504.1,imps,others
03/01/2022,03/01/2022,POS/DR/270043598476/BIGBAZAAR,TRANSFER TO 270043598476,321.37,,723182.73,pos,others
03/01/2022,03/01/2022,IMPS/DR/296028326445/DMART,TRANSFER TO 296028326445,8076.23,,715106.5,imps,others
03/01/2022,03/01/2022,POS/DR/827709326893/JIO,TRANSFER TO 827709326893,925.76,,714180.74,pos,others
03/01/2022,03/01/2022,UPI/DR/241641827447/UBER,TRANSFER TO 241641827447,1058.96,,713121.78,upi,transport
03/01/2022,03/01/2022,NEFT/DR/754917119068/AMAZON,TRANSFER TO 754917119068,3775.29,,709346.49,neft,shopping
03/01/2022,03/01/2022,IMPS/DR/517814700635/APOLLO,TRANSFER TO 517814700635,3903.87,,705442.62,imps,others
03/01/2022,03/01/2022,NEFT/DR/263891630156/IRCTC,TRANSFER TO 263891630156,2271.17,,703171.45,neft,others
03/01/2022,03/01/2022,NEFT/DR/881550364379/DMART,TRANSFER TO 881550364379,4893.25,,698278.2,neft,others
03/01/2022,03/01/2022,POS/DR/716125993728/OLA,TRANSFER TO 716125993728,2930.29,,695347.91,pos,transport
03/01/2022,03/01/2022,IMPS/DR/628092845396/DMART,TRANSFER TO 628092845396,9281.79,,686066.12,imps,others
03/01/2022,03/01/2022,NEFT/DR/187242078707/FLIPKART,TRANSFER TO 187242078707,1513.54,,684552.58,neft,shopping
03/01/2022,03/01/2022,NEFT/CR/617496296821/SALARY,TRANSFER FROM 617496296821,,98956.0,783508.58,neft,salary
03/01/2022,03/01/2022,NEFT/DR/910895332424/AMAZON,TRANSFER TO 910895332424,5595.33,,777913.25,neft,shopping
03/01/2022,03/01/2022,UPI/DR/725102368074/ZOMATO,TRANSFER TO 725102368074,2642.93,,775270.32,upi,food
03/01/2022,03/01/2022,NEFT/DR/475041238919/SWIGGY,TRANSFER TO 475041238919,6795.79,,768474.53,neft,food
03/01/2022,03/01/2022,IMPS/DR/386876428496/MYNTRA,TRANSFER TO 386876428496,1101.14,,767373.39,imps,shopping
03/01/2022,03/01/2022,IMPS/DR/196814972804/SWIGGY,TRANSFER TO 196814972804,2299.64,,765073.75,imps,food
03/01/2022,03/01/2022,POS/DR/722901868916/JIO,TRANSFER TO 722901868916,5176.61,,759897.14,pos,others
04/01/2022,04/01/2022,POS/DR/547880244520/STARBUCKS,TRANSFER TO 547880244520,430.52,,759466.62,pos,others
04/01/2022,04/01/2022,NEFT/CR/564833519626/SALARY,TRANSFER FROM 564833519626,,70675.0,830141.62,neft,salary
04/01/2022,04/01/2022,NEFT/CR/387527476056/SALARY,TRANSFER FROM 387527476056,,144094.0,974235.62,neft,salary
04/01/2022,04/01/2022,UPI/DR/256248640377/APOLLO,TRANSFER TO 256248640377,6024.66,,968210.96,upi,others
04/01/2022,04/01/2022,NEFT/DR/884663714224/UBER,TRANSFER TO 884663714224,11448.75,,956762.21,neft,transport
04/01/2022,04/01/2022,NEFT/CR/425106073547/SALARY,TRANSFER FROM 425106073547,,85376.0,1042138.21,neft,salary
04/01/2022,04/01/2022,UPI/DR/415944823757/FLIPKART,TRANSFER TO 415944823757,4516.77,,1037621.44,upi,shopping
04/01/2022,04/01/2022,IMPS/DR/352363876100/SWIGGY,TRANSFER TO 352363876100,11582.62,,1026038.82,imps,food
04/01/2022,04/01/2022,NEFT/DR/287700442717/IRCTC,TRANSFER TO 287700442717,9463.85,,1016574.97,neft,others
04/01/2022,04/01/2022,NEFT/DR/104985063990/DMART,TRANSFER TO 104985063990,500.54,,1016074.43,neft,others
04/01/2022,04/01/2022,NEFT/CR/541304685063/SALARY,TRANSFER FROM 541304685063,,70227.0,1086301.43,neft,salary
04/01/2022,04/01/2022,UPI/DR/948789282358/FLIPKART,TRANSFER TO 948789282358,4785.5,,1081515.93,upi,shopping
04/01/2022,04/01/2022,IMPS/DR/891067528031/ZOMATO,TRANSFER TO 891067528031,4858.23,,1076657.7,imps,food
04/01/2022,04/01/2022,IMPS/DR/211750104441/BIGBAZAAR,TRANSFER TO 211750104441,2400.71,,1074256.99,imps,others
04/01/2022,04/01/2022,NEFT/DR/326772252471/APOLLO,TRANSFER TO 326772252471,2367.31,,1071889.68,neft,others
04/01/2022,04/01/2022,POS/DR/322792139961/APOLLO,TRANSFER TO 322792139961,3538.61,,1068351.07,pos,others
04/01/2022,04/01/2022,POS/DR/113273015003/FLIPKART,TRANSFER TO 113273015003,4473.15,,1063877.92,pos,shopping
04/01/2022,04/01/2022,UPI/DR/242584196375/OLA,TRANSFER TO 242584196375,3367.22,,1060510.7,upi,transport
04/01/2022,04/01/2022,IMPS/DR/183191629460/APOLLO,TRANSFER TO 183191629460,5122.78,,1055387.92,imps,others
04/01/2022,04/01/2022,POS/DR/822033596135/ZOMATO,TRANSFER TO 822033596135,5694.06,,1049693.86,pos,food
04/01/2022,04/01/2022,NEFT/CR/596352677536/SALARY,TRANSFER FROM 596352677536,,94113.0,1143806.86,neft,salary
04/01/2022,04/01/2022,NEFT/CR/962254153637/SALARY,TRANSFER FROM 962254153637,,121137.0,1264943.86,neft,salary
04/01/2022,04/01/2022,POS/DR/261660459937/MYNTRA,TRANSFER TO 261660459937,4604.67,,1260339.19,pos,shopping
04/01/2022,04/01/2022,UPI/DR/457792687429/JIO,TRANSFER TO 457792687429,265.38,,1260073.81,upi,others
04/01/2022,04/01/2022,NEFT/DR/706843922713/ZOMATO,TRANSFER TO 706843922713,3016.91,,1257056.9,neft,food
04/01/2022,04/01/2022,UPI/DR/237802484469/MYNTRA,TRANSFER TO 237802484469,1606.19,,1255450.71,upi,shopping
04/01/2022,04/01/2022,NEFT/DR/214091957616/FLIPKART,TRANSFER TO 214091957616,1522.67,,1253928.04,neft,shopping
04/01/2022,04/01/2022,UPI/DR/844493929109/SWIGGY,TRANSFER TO 844493929109,1834.24,,1252093.8,upi,food
04/01/2022,04/01/2022,POS/DR/983387864167/JIO,TRANSFER TO 983387864167,2996.58,,1249097.22,pos,others
04/01/2022,04/01/2022,NEFT/CR/219848068544/SALARY,TRANSFER FROM 219848068544,,135259.0,1384356.22,neft,salary
04/01/2022,04/01/2022,NEFT/DR/367361700707/BIGBAZAAR,TRANSFER TO 367361700707,4970.93,,1379385.29,neft,others
04/01/2022,04/01/2022,IMPS/DR/382111110946/JIO,TRANSFER TO 382111110946,17448.86,,1361936.43,imps,others
04/01/2022,04/01/2022,IMPS/DR/700783951712/OLA,TRANSFER TO 700783951712,3608.38,,1358328.05,imps,transport
04/01/2022,04/01/2022,NEFT/DR/559647976654/BIGBAZAAR,TRANSFER TO 559647976654,4670.28,,1353657.77,neft,others
04/01/2022,04/01/2022,POS/DR/846743202369/UBER,TRANSFER TO 846743202369,3160.87,,1350496.9,pos,transport
04/01/2022,04/01/2022,POS/DR/203957619791/BIGBAZAAR,TRANSFER TO 203957619791,9232.48,,1341264.42,pos,others
05/01/2022,05/01/2022,POS/DR/708789808525/FLIPKART,TRANSFER TO 708789808525,6835.63,,1334428.79,pos,shopping
05/01/2022,05/01/2022,UPI/DR/707221257031/UBER,TRANSFER TO 707221257031,1856.01,,1332572.78,upi,transport
05/01/2022,05/01/2022,IMPS/DR/181186816390/FLIPKART,TRANSFER TO 181186816390,5404.84,,1327167.94,imps,shopping
05/01/2022,05/01/2022,NEFT/CR/409573276728/SALARY,TRANSFER FROM 409573276728,,145995.0,1473162.94,neft,salary
05/01/2022,05/01/2022,POS/DR/870847765332/IRCTC,TRANSFER TO 870847765332,2277.88,,1470885.06,pos,others
05/01/2022,05/01/2022,NEFT/CR/934256613517/SALARY,TRANSFER FROM 934256613517,,101543.0,1572428.06,neft,salary
05/01/2022,05/01/2022,IMPS/DR/159618708072/JIO,TRANSFER TO 159618708072,3018.01,,1569410.05,imps,others
05/01/2022,05/01/2022,IMPS/DR/631107291011/APOLLO,TRANSFER TO 631107291011,5159.67,,1564250.38,imps,others
05/01/2022,05/01/2022,IMPS/DR/667300201468/OLA,TRANSFER TO 667300201468,4274.14,,1559976.24,imps,transport
05/01/2022,05/01/2022,IMPS/DR/292271267771/ZOMATO,TRANSFER TO 292271267771,4136.41,,1555839.83,imps,food
05/01/2022,05/01/2022,POS/DR/692850373018/AMAZON,TRANSFER TO 692850373018,4341.58,,1551498.25,pos,shopping
05/01/2022,05/01/2022,IMPS/DR/823906308173/UBER,TRANSFER TO 823906308173,2293.35,,1549204.9,imps,transport
05/01/2022,05/01/2022,IMPS/DR/508610021649/JIO,TRANSFER TO 508610021649,862.67,,1548342.23,imps,others
05/01/2022,05/01/2022,NEFT/CR/739791975445/SALARY,TRANSFER FROM 739791975445,,76294.0,1624636.23,neft,salary
05/01/2022,05/01/2022,UPI/DR/891820496222/BIGBAZAAR,TRANSFER TO 891820496222,5590.22,,1619046.01,upi,others
05/01/2022,05/01/2022,NEFT/DR/900526555754/DMART,TRANSFER TO 900526555754,1210.47,,1617835.54,neft,others
05/01/2022,05/01/2022,NEFT/CR/717575735297/SALARY,TRANSFER FROM 717575735297,,60472.0,1678307.54,neft,salary
05/01/2022,05/01/2022,UPI/DR/976119333398/DMART,TRANSFER TO 976119333398,2157.2,,1676150.34,upi,others
05/01/2022,05/01/2022,IMPS/DR/107661245058/SWIGGY,TRANSFER TO 107661245058,3783.72,,1672366.62,imps,food
05/01/2022,05/01/2022,POS/DR/910873957785/STARBUCKS,TRANSFER TO 910873957785,8604.25,,1663762.37,pos,others
05/01/2022,05/01/2022,IMPS/DR/386448071180/UBER,TRANSFER TO 386448071180,6687.05,,1657075.32,imps,transport
05/01/2022,05/01/2022,POS/DR/951202278492/SWIGGY,TRANSFER TO 951202278492,5024.7,,1652050.62,pos,food
05/01/2022,05/01/2022,UPI/DR/325842546541/FLIPKART,TRANSFER TO 325842546541,7277.33,,1644773.29,upi,shopping
05/01/2022,05/01/2022,NEFT/DR/475302304215/FLIPKART,TRANSFER TO 475302304215,6505.03,,1638268.26,neft,shopping
05/01/2022,05/01/2022,NEFT/CR/224240594389/SALARY,TRANSFER FROM 224240594389,,43423.0,1681691.26,neft,salary
05/01/2022,05/01/2022,NEFT/DR/763271853971/ZOMATO,TRANSFER TO 763271853971,1403.6,,1680287.66,neft,food
05/01/2022,05/01/2022,UPI/DR/351280406606/SWIGGY,TRANSFER TO 351280406606,2759.57,,1677528.09,upi,food
05/01/2022,05/01/2022,NEFT/CR/291804450773/SALARY,TRANSFER FROM 291804450773,,74769.0,1752297.09,neft,salary
05/01/2022,05/01/2022,NEFT/DR/704601646674/SWIGGY,TRANSFER TO 704601646674,9031.97,,1743265.12,neft,food
05/01/2022,05/01/2022,POS/DR/159889354682/BIGBAZAAR,TRANSFER TO 159889354682,5148.48,,1738116.64,pos,others
05/01/2022,05/01/2022,UPI/DR/800771538223/IRCTC,TRANSFER TO 800771538223,12692.95,,1725423.69,upi,others
05/01/2022,05/01/2022,UPI/DR/230994132642/STARBUCKS,TRANSFER TO 230994132642,4825.38,,1720598.31,upi,others
05/01/2022,05/01/2022,NEFT/DR/434702314773/SWIGGY,TRANSFER TO 434702314773,11837.36,,1708760.95,neft,food
06/01/2022,06/01/2022,NEFT/CR/896518898709/SALARY,TRANSFER FROM 896518898709,,95860.0,1804620.95,neft,salary
06/01/2022,06/01/2022,UPI/DR/114444062612/OLA,TRANSFER TO 114444062612,10941.73,,1793679.22,upi,transport
06/01/2022,06/01/2022,NEFT/DR/103194473531/MYNTRA,TRANSFER TO 103194473531,21137.4,,1772541.82,neft,shopping
06/01/2022,06/01/2022,POS/DR/964535795185/STARBUCKS,TRANSFER TO 964535795185,2528.32,,1770013.5,pos,others
06/01/2022,06/01/2022,UPI/DR/924061557451/IRCTC,TRANSFER TO 924061557451,4555.05,,1765458.45,upi,others
06/01/2022,06/01/2022,NEFT/CR/363502222824/SALARY,TRANSFER FROM 363502222824,,113613.0,1879071.45,neft,salary
06/01/2022,06/01/2022,POS/DR/570551054670/APOLLO,TRANSFER TO 570551054670,5504.0,,1873567.45,pos,others
06/01/2022,06/01/2022,NEFT/DR/209213512194/SWIGGY,TRANSFER TO 209213512194,3209.63,,1870357.82,neft,food
06/01/2022,06/01/2022,IMPS/DR/473011907870/MYNTRA,TRANSFER TO 473011907870,862.9,,1869494.92,imps,shopping
06/01/2022,06/01/2022,POS/DR/875856475945/OLA,TRANSFER TO 875856475945,3704.31,,1865790.61,pos,transport
06/01/2022,06/01/2022,IMPS/DR/496204799119/SWIGGY,TRANSFER TO 496204799119,9198.13,,1856592.48,imps,food
06/01/2022,06/01/2022,IMPS/DR/291691595672/JIO,TRANSFER TO 291691595672,3006.72,,1853585.76,imps,others
06/01/2022,06/01/2022,IMPS/DR/865323186116/FLIPKART,TRANSFER TO 865323186116,2899.82,,1850685.94,imps,shopping
06/01/2022,06/01/2022,NEFT/DR/749055388074/SWIGGY,TRANSFER TO 749055388074,4792.79,,1845893.15,neft,food
06/01/2022,06/01/2022,IMPS/DR/646391000597/BIGBAZAAR,TRANSFER TO 646391000597,7479.89,,1838413.26,imps,others
06/01/2022,06/01/2022,POS/DR/705580411983/DMART,TRANSFER TO 705580411983,6549.82,,1831863.44,pos,others
06/01/2022,06/01/2022,UPI/DR/819506114716/STARBUCKS,TRANSFER TO 819506114716,11132.41,,1820731.03,upi,others
06/01/2022,06/01/2022,UPI/DR/114576057248/IRCTC,TRANSFER TO 114576057248,6166.39,,1814564.64,upi,others
06/01/2022,06/01/2022,IMPS/DR/405323531780/UBER,TRANSFER TO 405323531780,5932.17,,1808632.47,imps,transport
06/01/2022,06/01/2022,NEFT/CR/805256273634/SALARY,TRANSFER FROM 805256273634,,65913.0,1874545.47,neft,salary
06/01/2022,06/01/2022,POS/DR/147994415002/IRCTC,TRANSFER TO 147994415002,1288.47,,1873257.0,pos,others
06/01/2022,06/01/2022,IMPS/DR/131424203072/FLIPKART,TRANSFER TO 131424203072,9198.42,,1864058.58,imps,shopping
06/01/2022,06/01/2022,IMPS/DR/178367339424/STARBUCKS,TRANSFER TO 178367339424,3236.48,,1860822.1,imps,others
06/01/2022,06/01/2022,NEFT/DR/338936640886/DMART,TRANSFER TO 338936640886,9206.46,,1851615.64,neft,others
06/01/2022,06/01/2022,POS/DR/635479574395/FLIPKART,TRANSFER TO 635479574395,7878.03,,1843737.61,pos,shopping
06/01/2022,06/01/2022,NEFT/DR/332082134420/STARBUCKS,TRANSFER TO 332082134420,7218.0,,1836519.61,neft,others
06/01/2022,06/01/2022,UPI/DR/733619379647/ZOMATO,TRANSFER TO 733619379647,6090.02,,1830429.59,upi,food
07/01/2022,07/01/2022,NEFT/DR/353288763522/APOLLO,TRANSFER TO 353288763522,8908.68,,1821520.91,neft,others
07/01/2022,07/01/2022,NEFT/CR/896423903172/SALARY,TRANSFER FROM 896423903172,,76405.0,1897925.91,neft,salary
07/01/2022,07/01/2022,NEFT/DR/865716090611/SWIGGY,TRANSFER TO 865716090611,6250.88,,1891675.03,neft,food
07/01/2022,07/01/2022,UPI/DR/177438967556/BIGBAZAAR,TRANSFER TO 177438967556,1250.7,,1890424.33,upi,others
07/01/2022,07/01/2022,IMPS/DR/141922044022/OLA,TRANSFER TO 141922044022,4991.97,,1885432.36,imps,transport
07/01/2022,07/01/2022,POS/DR/743956211256/JIO,TRANSFER TO 743956211256,6244.18,,1879188.18,pos,others
07/01/2022,07/01/2022,NEFT/CR/224615449805/SALARY,TRANSFER FROM 224615449805,,70504.0,1949692.18,neft,salary
07/01/2022,07/01/2022,UPI/DR/226185761120/AMAZON,TRANSFER TO 226185761120,50.0,,1949642.18,upi,shopping
07/01/2022,07/01/2022,POS/DR/432423120790/MYNTRA,TRANSFER TO 432423120790,17837.75,,1931804.43,pos,shopping
07/01/2022,07/01/2022,NEFT/DR/728095003730/ZOMATO,TRANSFER TO 728095003730,1306.39,,1930498.04,neft,food
07/01/2022,07/01/2022,IMPS/DR/815996128012/STARBUCKS,TRANSFER TO 815996128012,16661.87,,1913836.17,imps,others
07/01/2022,07/01/2022,UPI/DR/706892556860/AMAZON,TRANSFER TO 706892556860,6959.35,,1906876.82,upi,shopping
07/01/2022,07/01/2022,POS/DR/479926958893/FLIPKART,TRANSFER TO 479926958893,3767.32,,1903109.5,pos,shopping
07/01/2022,07/01/2022,NEFT/CR/227569565406/SALARY,TRANSFER FROM 227569565406,,63688.0,1966797.5,neft,salary
07/01/2022,07/01/2022,NEFT/DR/522632217335/ZOMATO,TRANSFER TO 522632217335,4205.51,,1962591.99,neft,food
07/01/2022,07/01/2022,POS/DR/401020013918/ZOMATO,TRANSFER TO 401020013918,1466.22,,1961125.77,pos,food
07/01/2022,07/01/2022,POS/DR/221771662715/APOLLO,TRANSFER TO 221771662715,4957.2,,1956168.57,pos,others
07/01/2022,07/01/2022,POS/DR/791132380394/AMAZON,TRANSFER TO 791132380394,4011.92,,1952156.65,pos,shopping
07/01/2022,07/01/2022,POS/DR/498611581932/JIO,TRANSFER TO 498611581932,5043.37,,1947113.28,pos,others
07/01/2022,07/01/2022,POS/DR/393076738208/MYNTRA,TRANSFER TO 393076738208,6592.0,,1940521.28,pos,shopping
07/01/2022,07/01/2022,NEFT/DR/333629577197/STARBUCKS,TRANSFER TO 333629577197,8508.44,,1932012.84,neft,others
07/01/2022,07/01/2022,IMPS/DR/225142391597/SWIGGY,TRANSFER TO 225142391597,2367.07,,1929645.77,imps,food
07/01/2022,07/01/2022,UPI/DR/231025899869/IRCTC,TRANSFER TO 231025899869,1378.54,,1928267.23,upi,others
07/01/2022,07/01/2022,POS/DR/510423187581/SWIGGY,TRANSFER TO 510423187581,4224.05,,1924043.18,pos,food
07/01/2022,07/01/2022,UPI/DR/817530651681/JIO,TRANSFER TO 817530651681,2425.79,,1921617.39,upi,others
07/01/2022,07/01/2022,NEFT/DR/424696156878/JIO,TRANSFER TO 424696156878,3002.87,,1918614.52,neft,others
07/01/2022,07/01/2022,POS/DR/660220261282/MYNTRA,TRANSFER TO 660220261282,2163.99,,1916450.53,pos,shopping
07/01/2022,07/01/2022,IMPS/DR/376144070613/FLIPKART,TRANSFER TO 376144070613,5254.65,,1911195.88,imps,shopping
07/01/2022,07/01/2022,IMPS/DR/956472467570/STARBUCKS,TRANSFER TO 956472467570,50.0,,1911145.88,imps,others
07/01/2022,07/01/2022,NEFT/DR/589867678853/OLA,TRANSFER TO 589867678853,1475.97,,1909669.91,neft,transport
07/01/2022,07/01/2022,NEFT/DR/552894919212/DMART,TRANSFER TO 552894919212,1520.63,,1908149.28,neft,others
07/01/2022,07/01/2022,NEFT/DR/854452579474/DMART,TRANSFER TO 854452579474,4544.53,,1903604.75,neft,others
07/01/2022,07/01/2022,UPI/DR/599184716336/MYNTRA,TRANSFER TO 599184716336,56.18,,1903548.57,upi,shopping
07/01/2022,07/01/2022,NEFT/DR/766140361872/DMART,TRANSFER TO 766140361872,6388.89,,1897159.68,neft,others
07/01/2022,07/01/2022,NEFT/CR/532563684170/SALARY,TRANSFER FROM 532563684170,,116324.0,2013483.68,neft,salary
07/01/2022,07/01/2022,IMPS/DR/198588462373/IRCTC,TRANSFER TO 198588462373,3244.79,,2010238.89,imps,others
07/01/2022,07/01/2022,IMPS/DR/623873749241/IRCTC,TRANSFER TO 623873749241,8784.25,,2001454.64,imps,others
07/01/2022,07/01/2022,POS/DR/939462696312/FLIPKART,TRANSFER TO 939462696312,4290.71,,1997163.93,pos,shopping
08/01/2022,08/01/2022,NEFT/DR/301267283488/APOLLO,TRANSFER TO 301267283488,380.6,,1996783.33,neft,others
08/01/2022,08/01/2022,NEFT/DR/285211395707/AMAZON,TRANSFER TO 285211395707,1992.03,,1994791.3,neft,shopping
08/01/2022,08/01/2022,NEFT/CR/761738168844/SALARY,TRANSFER FROM 761738168844,,70399.0,2065190.3,neft,salary
08/01/2022,08/01/2022,NEFT/DR/250238802596/APOLLO,TRANSFER TO 250238802596,3244.02,,2061946.28,neft,others
